"Variable","PD patients","Control subjects","p","test"
"n","    30","   60","",""
"Gender = Male (%)","    17 (56.7) ","   37 (61.7) "," 0.819",""
"Education (%)","    ","   ","   NaN",""
"   primary school","    19 (63.3) ","    0 ( NaN) ","",""
"   lower secondary school degree","     1 ( 3.3) ","    0 ( NaN) ","",""
"   intermediate secondary school","     7 (23.3) ","    0 ( NaN) ","",""
"   High school diploma or university entrance qualification","     3 (10.0) ","    0 ( NaN) ","",""
"Age (mean (SD))"," 72.20 (9.74)","72.05 (9.69)"," 0.945",""
"Disease duration (median [IQR])","  5.00 [2.25, 10.75]","   NA [NA, NA]","    NA","nonnorm"
"BDI-II* (mean (SD))"," 14.10 (7.84)"," 5.55 (4.91)","<0.001",""
"AES† (mean (SD))"," 33.03 (7.12)","  NaN (NA)","    NA",""
"MSS‡ (mean (SD))","  3.77 (5.18)"," 2.10 (2.60)"," 0.045",""
"MDS-UPDRS part I (mean (SD))"," 11.30 (6.18)","  NaN (NA)","    NA",""
"MDS-UPDRS part II (mean (SD))"," 14.77 (8.95)","  NaN (NA)","    NA",""
"MDS-UPDRS part III (mean (SD))"," 37.94 (14.07)","  NaN (NA)","    NA",""
"MDS-UPDRS part IV (mean (SD))","  5.77 (4.00)","  NaN (NA)","    NA",""
"LEDD§ [in mg] (mean (SD))","589.93 (361.14)","  NaN (NA)","    NA",""
"PANDA¶ (mean (SD))"," 23.47 (4.69)","  NaN (NA)","    NA",""
"MMSE** (mean (SD))","   NaN (NA)","29.10 (1.39)","    NA",""
"Abbreviations: * Beck's Depression Inventory-II, † Apathy evaluation scale, ‡ ??, § Levodopa-equivalent dosage, ¶ Parkinson Neuropsychometric Dementia Assessment, ** Mini-Mental State Examination",NA,NA,NA,NA
